"foaf_depicts","dcterms_identifier","dcterms_created","dcterms_modified","label","dcterms_description","ac_tag","geo_lat","geo_long","ac_accessURI","exif_PixelXDimension","exif_PixelYDimension","geo_alt"
"000126",4831691096,"2010-07-01T20:46:03","2017-04-04T08:11:00-05:00","dsc0400jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4091/4831691096_25a579fa8b_",2048,1371,
"000126",4831079257,"2010-07-01T20:46:36","2017-04-04T08:11:00-05:00","dsc0401jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4109/4831079257_778fa81455_",2048,1371,
"000126",4831691854,"2010-07-01T20:46:46","2017-04-04T08:11:00-05:00","dsc0402jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4094/4831691854_966d40468d_",2048,1371,
"000126",4831080037,"2010-07-01T20:47:16","2017-04-04T08:11:00-05:00","dsc0403jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4085/4831080037_8e29ddcb0d_",2048,1371,
"000126",4831692948,"2010-07-01T20:47:25","2017-04-04T08:11:00-05:00","dsc0404jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4122/4831692948_4bf571b389_",2048,1371,
"000126",4831693204,"2010-07-01T20:47:48","2017-04-04T08:11:00-05:00","dsc0405jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4088/4831693204_8d6bd9e8f3_",1371,2048,
"000126",4831081389,"2010-07-01T20:47:54","2017-04-04T08:11:00-05:00","dsc0406jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4082/4831081389_2012fe673c_",2048,1371,
"000126",4831693932,"2010-07-01T20:48:11","2017-04-04T08:11:00-05:00","dsc0407jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4088/4831693932_5b7ae4e11e_",1371,2048,
"000126",4831082299,"2010-07-01T20:48:37","2017-04-04T08:11:00-05:00","dsc0408jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4113/4831082299_b68d879fff_",1371,2048,
"000126",4831694974,"2010-07-01T20:48:53","2017-04-04T08:11:00-05:00","dsc0409jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4137/4831694974_cd65aff2d4_",1371,2048,
