"MEDIUM","FABRIC","TECHNIQUE","FORM","SUB-FORM","START_DATE","END_DATE","PAINTER","POTTER","SUBJECT_ADDITIONAL","LOCATION_COUNTRY","LOCATION_CITY","COLLECTION_NAME","COLLECTION_ID","PROVENIENCE","modified","local_unique_identifier","TRENDALL_ID","scene_type_a_cv","IMAGE_SERIES","SCENE_TYPE_A","MUSICAL_SCENE_TYPE_A","CAT_DESCRIPTION_A","SIDE_A_DETAILS","SIDE_A_INSTRUMENTS_AND_NUMBERS","SIDE_A_PERFORMERS","SIDE_A_PERFORMER_LOCATION","SIDE_A_PERFORMER_ACTION","SIDE_A_NUMBER_OF_FIGURES","SIDE_A_COMPOSITION","SCENE_TYPE_B","MUSICAL_SCENE_TYPE_B","CAT_DESCRIPTION_B","SIDE_B_DETAILS","SIDE_B_INSTRUMENTS_AND_NUMBERS","SIDE_B_PERFORMERS","SIDE_B_PERFORMER_LOCATION","SIDE_B_PERFORMER_ACTION","SIDE_B_NUMBER_OF_FIGURES","SIDE_B_COMPOSITION","IMAGE_IDS","NOTES","PUBLICATION","CATEGORY_1","CATEGORY_2","RVAp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Cologne","Private Collection",,,"2017-02-20T22:30:00-06:00","19-114a","19.114a",,531,"PROCESSION","PROCESSION(TYM)","woman with tympanon, kanoun, youth with sprig and box","woman with tympanon, kanoun, youth with sprig and box","1_(TYM)","F(TYM)","C(TYM)","WALKING(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0531.jpg",,,"SGL",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Vatican","Museo Gregoriano Etrusco","V 27 (18060)",,"2017-02-20T22:30:00-06:00","19-118",19.118,,"0535-36","PROCESSION (EROS)","PROCESSION (EROS)(TYM)","woman with tympanon and fan and eros walking left","woman with tympanon and fan and eros walking left","1_(TYM)","F(TYM)","C(TYM)","WALKING(TYM)","1_F,1_E","SINGLE",,,,,,,,,,,"IMAG0535.jpg, IMAG0536.jpg",,,"DIO",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Paris","Cabinet des Medailles",982,,"2017-02-20T22:30:00-06:00","19-12",19.12,,537,"PROCESSION (EROS)","PROCESSION (EROS)(TYM)","woman with fan, eros with tympanon walking left","woman with fan, eros with tympanon walking left","1_(TYM)","E(TYM)","C(TYM)","WALKING(TYM)","1_F,1_E","SINGLE",,,,,,,,,,,"IMAG0537.jpg",,,"DIO",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9477,9478,9479,9480,9481,9482,9483,9484,9485,9486,9487,9488,9489,9490,9491,9492,9493,9494,9495,9496,9497,9498,9499,9500,9501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Hamburg","Museum f�r Kunst und Gewerbe",1917.1069,,"2017-02-20T22:30:00-06:00","19-121",19.121,,538,"PROCESSION","PROCESSION(TYM)","youth with tympanon, woman with box walking left","youth with tympanon, woman with box walking left","1_(TYM)","M(TYM)","C(TYM)","WALKING(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0538.jpg",,,"SGL",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Bologna","Museo Civico Archeologico",558,,"2017-02-20T22:30:00-06:00","19-123",19.123,,539,"PROCESSION","PROCESSION(TYM)","youth and woman with tympanon walking left","youth and woman with tympanon walking left","1_(TYM)","F(TYM)","R(TYM)","WALKING(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0539.jpg",,,"SGL",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Zagreb","Archaeological Museum",1026,,"2017-02-20T22:30:00-06:00","19-14",19.14,,506,"FUNERARY","FUNERARY(TYM)","central stele with two attendants","central stele with two attendants","1_(TYM)","F(TYM)","L(TYM)","STANDING(TYM)","2_F","SINGLE",,,,,,,,,,,"IMAG0506.jpg",,,"FUN",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Matera","Museo Archeologico Nazionale ""Domenico Ridola""",12485,,"2017-02-20T22:30:00-06:00","19-17",19.17,,507,"FUNERARY","FUNERARY(TYM)","central stele with two attendants","central stele with two attendants","1_(TYM)","F(TYM)","R(TYM)","MOVING(TYM)","2_F","SINGLE",,,,,,,,,,,"IMAG0507.jpg",,,"FUN",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Bologna","Museo Civico Archeologico",553,,"2017-02-20T22:30:00-06:00","19-25",19.25,,510,"FUNERARY","FUNERARY(TYM)","central stele with two attendants","central stele with two attendants","1_(TYM)","F(TYM)","L(TYM)","STANDING(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0510.jpg",,,"FUN",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Geneva","Private Collection (P. Hartmann)",,,"2017-02-20T22:30:00-06:00","19-25b","19.25b",,511,"FUNERARY","FUNERARY(TYM)","central stele with two attendants","central stele with two attendants","1_(TYM)","F(TYM)","L(TYM)","STANDING(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0511.jpg",,,"FUN",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Vienna","Kunsthistorisches Museum",1122,,"2017-02-20T22:30:00-06:00","19-42",19.42,,513,"FUNERARY","FUNERARY(XYL)","central stele with two attendants","central stele with two attendants","1_(XYL)","F(XYL)","R(XYL)","SEATED(XYL)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0513.jpg",,,"FUN",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Vatican","Museo Gregoriano Etrusco","V 25 (18058)",,"2017-02-20T22:30:00-06:00","19-45",19.45,,515,"COURTSHIP","COURTSHIP(TYM)","youth, seated woman","youth, seated woman","1_(TYM)","F(TYM)","R(TYM)","SEATED(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0515.jpg",,,"ECA",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Amphora",,"0340","0300","The Darius-Underworld Circle",,,,"Auxerre","Market","12.04.91 173 (125)",,"2017-02-20T22:30:00-06:00","19-5q","19.5?",,516,"???","STANDING_ATTENDANT(TYM)","woman walking with tympanon and situla, youth leaning on column with box","woman walking with tympanon and situla, youth leaning on column with box","1_(TYM)","F(TYM)","L(TYM)","WALKING(TYM)","1_F,1_M","SINGLE","NO PHOTO",,,,,,,,,,"IMAG0516.jpg",,,"SGL",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Udine","Museo Civico",1653,,"2017-02-20T22:30:00-06:00","19-57",19.57,,518,"COURTSHIP","COURTSHIP(TYM)","seated woman, eros with fan","seated woman, eros with fan","1_(TYM)","F(TYM)","L(TYM)","SEATED(TYM)","1_F,1_E","SINGLE",,,,,,,,,,,"IMAG0518.jpg",,,"ECA",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"London","Market (Christie's)","11.06.80 250",,"2017-02-20T22:30:00-06:00","19-58a","19.58a",,519,"ATTENDANT","ATTENDANT(TYM)","woman with platter, seated youth with tympanon and sprig","woman with platter, seated youth with tympanon and sprig","1_(TYM)","M(TYM)","R(TYM)","SEATED(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0519.jpg",,,"DIO",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Zurich","Fachbereich Klassische Arch�ologie (Universit�t Z�rich)",2650,,"2017-02-20T22:30:00-06:00","19-59",19.59,,520,"ATTENDANT","ATTENDANT(TYM)","woman with tympanon, seated youth","woman with tympanon, seated youth","1_(TYM)","F(TYM)","L(TYM)","STANDING(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0520.jpg",,,"DIO",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Bari","Private Collection (D'Agostino)",20,,"2017-02-20T22:30:00-06:00","19-62",19.62,,521,"ATTENDANT","ATTENDANT(TYM)","woman with tympanon, seated youth with sprig","woman with tympanon, seated youth with sprig","1_(TYM)","F(TYM)","L(TYM)","STANDING(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0521.jpg",,,"DIO",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Brindisi","Private Collection (Falletta)",,,"2017-02-20T22:30:00-06:00","19-62b","19.62b",,522,"ATTENDANT","ATTENDANT(TYM)","woman with tympanon, seated youth with giant flower","woman with tympanon, seated youth with giant flower","1_(TYM)","F(TYM)","L(TYM)","STANDING(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0522.jpg",,,"DIO",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"New York","Metropolitan Museum of Art",58.113,,"2017-02-20T22:30:00-06:00","19-72",19.72,,523,"ATTENDANT (EROS)","ATTENDANT (EROS)(TYM)","woman with grapes, seated eros with tympanon","woman with grapes, seated eros with tympanon","1_(TYM)","E(TYM)","R(TYM)","SEATED(TYM)","1_F,1_E","SINGLE",,,,,,,,,,,"IMAG0523.jpg",,,"ECA",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Bari","Private Collection (Marchesiello)",3,,"2017-02-20T22:30:00-06:00","19-77a","19.77a",,524,"ATTENDANT (EROS)","ATTENDANT (EROS)(TYM)","woman with tympanon and fan, seated eros","woman with tympanon and fan, seated eros","1_(TYM)","F(TYM)","L(TYM)","STANDING(TYM)","1_F,1_E","SINGLE",,,,,,,,,,,"IMAG0524.jpg",,,"ECA",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Brusuglio","Private Collection",3,,"2017-02-20T22:30:00-06:00","19-85",19.85,,525,"ATTENDANT (EROS)","ATTENDANT (EROS)(TYM)","seated eros with tympanon, woman","seated eros with tympanon, woman","1_(TYM)","E(TYM)","L(TYM)","SEATED(TYM)","1_F,1_E","SINGLE",,,,,,,,,,,"IMAG0525.jpg",,,"ECA",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Hanover","Kestner Museum","V 1",,"2017-02-20T22:30:00-06:00","19-87",19.87,,526,"ATTENDANT","ATTENDANT(TYM)","seated youth, woman with tympanon","seated youth, woman with tympanon","1_(TYM)","F(TYM)","R(TYM)","LEANING(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG0526.jpg",,,"DIO",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0340","0300","The Darius-Underworld Circle",,,,"Hoensbroek","Private Collection (Rodolf)",,,"2017-02-20T22:30:00-06:00","19-99",19.99,,527,"ADORNMENT (?)","ADORNMENT (?)(TYM)","woman standing at louterion with tympanon, woman standing with wreath and kanoun","woman standing at louterion with tympanon, woman standing with wreath and kanoun","1_(TYM)","F(TYM)","C(TYM)","LEANING(TYM)","2_F","SINGLE",,,,,,,,,,,"IMAG0527.jpg",,,"ECA",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0425","0400","Gravina Painter",,"sphinxes flanking complex palmette motifs",,"Taranto","Private Collection",,"Gravina","2017-02-20T22:30:00-06:00","2-01",2.01,,"6127-31","MYTHOLOGICAL, DINING, COUPLE",,"neck: amazonomachy; body: ""uncertain mythological scene"" with, above, youth and woman on kline, bearded male seated on klismos, four youths, and a horse and, below, a woamn and youth kissing on a couch with women and erotes","On the neck, battle of Greeks vs. amazons; on the body, a two-tier (quasi-friezes separated by egg and dart) composition flanked by a couple of male figures hoisting benches up a flight of stairs to a column with a victory atop it and a palmette; upper portion has a woman covering herself, two node youths (one with cap and cloak) facing one another, a seated and bearded male, a woman with X-belt and staff with bird on top and a youth on a couch, a nude youth pulling his cloak over his head, and a youth and a horse; lower, a female follows an eros figure who is carrying a scarf towards a seated woman with mirror who looks over a youth a woman kissing on a couch, the reclining youth being crowned with a wreath by a small eros and a woman attending a thymiaterion to the side",,,,,"7_F,13_M,2_E,1_A","SINGLE","MYTHOLOGICAL","MYTHOLOGICAL(PAN)","neck: death of Aktaion with Pan looking on; body: Calydonian boar hunt","death of Aktion with a fury engaging with the dogs, a bearded satyr running away, and Artemis (?), a donkey, and a youth sitting and holding a set of pan pipes (?) looking on; body is one composition with a boar hunt (partially lost)","1_(PAN)","M(PAN)","NECKL(PAN)","SEATED(PAN)","2_F,11_M,7_A","2 ROWS","IMAG6127.jpg, IMAG6128.jpg, IMAG6129.jpg, IMAG6130.jpg, IMAG6131.jpg",,,"MTH","FUN","RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Bell","0425","0400","Gravina Painter",,,,"London","Market (Christie's, ex Nostell Priory Collection)",,,"2017-02-20T22:30:00-06:00","2-04",2.04,,"6134-35","PROCESSION (DIONYSIAC)","PROCESSION (DIONYSIAC)(TYM)","bearded satyr, youth (Dionysos), and dancing woman with tympanon moving left","Three figures moving L lead by a satyr carrying a torch and kalathos, a nude youth ﾾ left/frontal with thyrsos, and a woman dancing with tambourine swinging from her hand","1_(TYM)","F(TYM)","R(TYM)","WALKING(TYM)","1_F,1_M,1_S","SINGLE","MANTLE FIGURES",,"mantle figures","three mantle figures, two facing L, one facing R, with jumping weights and central figure with stick",,,,,"3_M","SINGLE","IMAG6134.jpg, IMAG6135.jpg",,,"DIO",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0410","0390","Painter of the Birth of Dionysos",,,,"Taranto","MARTA",8264,,"2017-02-20T22:30:00-06:00","2-06",2.06,,"6136-40","MYTHOLOGICAL","MYTHOLOGICAL(PAN)","neck: centauromachy; body: birth of Dionysos from Zeus' thigh with Aphrodite and eros, Pan with syrinx, Apollo, Artemis, Hermes, bearded satyr, and three women in attendance","Body: Multi-level composition with the birth of Dionysos from the thigh of a seated Zeus in the centre, gods standing and lounging all about, young satyr torso above Zeus standing, facing L, head down, with animal-skin cloak and staff from which hang a set of pan pipes; neck: centauRomechy","1_(PAN)","S(PAN)","UPC(PAN)","STANDING(PAN)","6_F,6_M,1_E,2_S,2_CENT","RADIAL","DINING (DIONYSIAC), MYTHOLOGICAL","DINING (DIONYSIAC)(SA), MYTHOLOGICAL(SA)","neck: Dionysos reclining on panther skin with satyrs; body: amazonomachy","Body: Amazonomachy, with an Amazon in the upper right corner show with short, patterned dress and simple cap helmet (?) facing L and playing the salpinx; neck: satyrs laying out a banquet for Dionysos reclining on a panther skin next to a tree (?) with a tambourine (?) hanging on the wall above/behind","1_(SA)","F(SA)","UPR(SA)","STANDING(SA)","5_F,6_M,3_S,1_A","2_ROWS","IMAG6136.jpg, IMAG6137.jpg, IMAG6138.jpg, IMAG6139.jpg, IMAG6140.jpg",,,"MTH",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0410","0390","Painter of the Birth of Dionysos",,,,"Naples","MANN","2411 (82922)",,"2017-02-20T22:30:00-06:00","2-08",2.08,,6141,"RELIGIOUS (DIONYSIAC)","RELIGIOUS (DIONYSIAC)(TYM), RELIGIOUS (DIONYSIAC)(TYM), RELIGIOUS (DIONYSIAC)(CYM)","neck: ""chariot scene""; body: sacrifice to Dionysos with Dionysos holding narthex above the altar","Body: Cult statue, animal being sacrificed at an altar, young Dionysos above, satyrs, masks, woman seated with tambourine, woman dancing with cymbals; Neck ﾖ quadriga (?) and warrior (?)","2_(TYM),1_(CYM)","F(TYM),F(CYM),?(TYM)","UPC(TYM),DOWNL(CYM),DOWNL(TYM)","SEATED(TYM),DANCING(CYM),?(TYM)","6_F,1_M,1_S,6_A","2_ROWS","NO PHOTO",,"neck: ""four youths""; body: ""centauromachy""","NEED BETTER IMAGES",,,,,,,"IMAG6141.jpg",,,"DIO",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
