"order","iri_local_name","modified","site_name_zh-Hans","site_name_zh-Latn-pinyin","site_name_en","site_geonames_id","site_getty_togn_id","earliest_period_zn-Hans","earliest_period_en","earliest_period_iri","latest_period_zn-Hans","latest_period_en","latest_period_iri","site_date_verbatim_zn-Hans","site_date_en","location_zn-Hans","province_name_zn-Hans","province_name_zh-latn-pinyin","province_zn-Hans","county-city_name_zn-Hans","political subdivision_zn-Hans","county-city_name_zh-latn-pinyin","political subdivision_en","political_subdivision_getty_tgn","subdivision_getty_aat_type","locality_zn-Hans","political subdivision2_zn-Hans","Geo_note","county-city_verbatim_zn-Hans","locality_en","locality_geonames_id","locality_getty_togn_id","Note"
38,"Shanhuasi","2016-10-19T13:46:00-05:00","善化寺","Shanhuasi","Shanhua Monastery",,,"辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","辽,金; rebuilt 1128-1143","Liao  to Jin","山西省大同市","山西","Shanxi","山西省","大同","市","Datong","City","8208819","300387198",,,,"大同市",,2037794,8208820,"rebuilt 1128-1143"
39,"Dabeiyuan","2016-10-19T13:46:00-05:00","大悲院","Dabeiyuan","Dabei Cloister",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","宋、金","Song to Jin","山西省曲沃县","山西","Shanxi","山西省","曲沃","县","Quwo","County","8619642","300387198",,,,"曲沃县",,,,
40,"Chongqingsi","2016-10-19T13:46:00-05:00","崇庆寺","Chongqingsi","Chongqing Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省长子县","山西","Shanxi","山西省","长子","县 ","Zhangzi","County","8677997","300387198","色头","镇",,"长子县 (长子县色头镇)","Zhangzixian setouzhen",,,
41,"Fawangmiao","2016-10-19T13:46:00-05:00","法王庙","Fawangmiao","Fawang Temple",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","陕西省韩城市","陕西","Shanxi","陕西省","韩城","市",,"City",,,,,,"韩城市",,,,
42,"Fogongsi","2016-10-19T13:46:00-05:00","佛宫寺释迦塔（应县木塔）","Fogongsi","Fogong Monastery",,,"辽","Liao","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao","山西省应县","山西","Shanxi","山西省","应","县",,"County",,,,,,"应县",,,,
43,"Kongmiao","2016-10-19T13:46:00-05:00","曲阜孔庙","Kongmiao","Temple of Confucius in Qufu",9072554,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山东省曲阜县","山东","Shandong","山东省","曲阜","县","Qufu","County","8631848","300387198",,,,"曲阜县",,,8631848,
44,"Fotousi","2016-10-19T13:46:00-05:00","佛头寺","Fotousi","Fotou Monastery ",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省平顺县","山西","Shanxi","山西省","平顺","县","Pingshun","County","8618711","300387198",,,,"平顺县",,,,
45,"Tianwangsi","2016-10-19T13:46:00-05:00","天王寺","Tianwangsi","Tianwang Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省长子县","山西","Shanxi","山西省","长子","县","Zhangzi","County","8677997","300387198",,,"长子县城南大街东侧","长子县 天王寺坐落于长子县城南大街东侧",,,,
46,"Huixianguan","2016-10-19T13:46:00-05:00","会仙观","Huixianguan","Huixian Belvederi ",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省武乡县","山西","Shanxi","山西省","武乡","县","Wuxiang","County","8676733","300387198",,,,"武乡县",,,,
47,"Jidumiao","2016-10-19T13:46:00-05:00","济渎庙","Jidumiao","Jidu Temple",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋－清","Song to Qing","河南省济源市","河南","Henan","河南省","济源","市","Jiyuan Shi","City","8619096","300387145",,,,"济源市",,,,
